epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11172,1.1766,0.97145,1.19272,0.77274,0.65943,0.74579,0.44465,1.33224,1.12809,1.3272,0.0011882,0.0011882,0.0011882
43,11408.2,1.17219,0.94203,1.19314,0.75631,0.63013,0.71359,0.4333,1.41507,1.13429,1.4075,0.0011684,0.0011684,0.0011684
44,11648.5,1.19684,0.95489,1.19892,0.80114,0.63939,0.74126,0.43045,1.43441,1.1543,1.36229,0.0011486,0.0011486,0.0011486
45,11886.1,1.16976,0.88953,1.19046,0.74987,0.68135,0.75373,0.45327,1.37409,1.07738,1.34294,0.0011288,0.0011288,0.0011288
46,12121.4,1.18677,0.9675,1.19876,0.76031,0.60909,0.70305,0.41557,1.4083,1.15269,1.37499,0.001109,0.001109,0.001109
47,12356.6,1.20477,0.93669,1.22759,0.82749,0.63333,0.74282,0.46407,1.35645,1.12674,1.32964,0.0010892,0.0010892,0.0010892
48,12590.2,1.18486,0.93119,1.18611,0.79501,0.64242,0.74288,0.43622,1.38742,1.1446,1.37805,0.0010694,0.0010694,0.0010694
49,12828.4,1.16617,0.92121,1.18309,0.81497,0.64065,0.75977,0.44381,1.38396,1.12248,1.3715,0.0010496,0.0010496,0.0010496
50,13063.2,1.16352,0.92858,1.18148,0.80489,0.67507,0.7518,0.45671,1.35295,1.12427,1.33311,0.0010298,0.0010298,0.0010298
51,13298.6,1.14929,0.93027,1.196,0.79679,0.65349,0.7488,0.44947,1.37509,1.14912,1.34352,0.00101,0.00101,0.00101
52,13539.6,1.11938,0.87295,1.15915,0.71898,0.68788,0.73913,0.44294,1.35949,1.1416,1.35389,0.0009902,0.0009902,0.0009902
53,13774.4,1.15785,0.9276,1.25314,0.79145,0.64848,0.73778,0.43926,1.41386,1.21445,1.39024,0.0009704,0.0009704,0.0009704
54,14009.8,1.11727,0.86049,1.16022,0.71665,0.66678,0.7217,0.43265,1.33906,1.23704,1.33254,0.0009506,0.0009506,0.0009506
55,14246,1.15104,0.90761,1.20479,0.78415,0.60548,0.70295,0.43326,1.39686,1.21525,1.36552,0.0009308,0.0009308,0.0009308
56,14481.8,1.10106,0.84783,1.1613,0.7693,0.6467,0.73812,0.44752,1.37481,1.10769,1.34318,0.000911,0.000911,0.000911
57,14717.2,1.09137,0.83001,1.15456,0.79304,0.63866,0.74631,0.45513,1.3226,1.09538,1.32968,0.0008912,0.0008912,0.0008912
58,14951,1.08926,0.83241,1.14112,0.77172,0.66364,0.75221,0.4732,1.36354,1.11485,1.35341,0.0008714,0.0008714,0.0008714
59,15186.4,1.11708,0.83309,1.15322,0.83752,0.64041,0.76171,0.44617,1.45285,1.06799,1.39312,0.0008516,0.0008516,0.0008516
60,15421.4,1.16047,0.84167,1.23213,0.80664,0.63207,0.74145,0.45197,1.35114,1.08015,1.36433,0.0008318,0.0008318,0.0008318
61,15655.8,1.05913,0.78222,1.12803,0.77677,0.65376,0.74887,0.45807,1.37517,1.10168,1.36768,0.000812,0.000812,0.000812
62,15888.9,1.07782,0.79599,1.12968,0.83133,0.63939,0.7542,0.48032,1.30532,1.05605,1.31451,0.0007922,0.0007922,0.0007922
63,16123.1,1.08009,0.81261,1.13801,0.76283,0.6725,0.73441,0.46079,1.34681,1.08988,1.35514,0.0007724,0.0007724,0.0007724
64,16356.5,1.04015,0.78816,1.12538,0.73952,0.69697,0.74998,0.45616,1.35181,1.07588,1.34284,0.0007526,0.0007526,0.0007526
65,16593.1,1.07158,0.81194,1.14134,0.79813,0.6303,0.74391,0.45577,1.36427,1.07483,1.37739,0.0007328,0.0007328,0.0007328
66,16827.9,1.05006,0.79013,1.13033,0.74991,0.69091,0.74105,0.45307,1.3773,1.12558,1.38524,0.000713,0.000713,0.000713
67,17066.9,1.05183,0.78241,1.125,0.84483,0.66364,0.78141,0.48871,1.32417,1.02329,1.33702,0.0006932,0.0006932,0.0006932
68,17301.6,1.02851,0.77062,1.10487,0.81712,0.6697,0.76469,0.46552,1.34177,1.04915,1.37024,0.0006734,0.0006734,0.0006734
69,17538.9,1.04037,0.80336,1.12984,0.77902,0.67576,0.75386,0.49337,1.33762,1.09127,1.31978,0.0006536,0.0006536,0.0006536
70,17784.8,1.03003,0.78328,1.14138,0.81251,0.64848,0.74909,0.47064,1.32817,1.07909,1.34179,0.0006338,0.0006338,0.0006338
71,18022.2,1.02458,0.74929,1.11558,0.82786,0.66061,0.76878,0.48743,1.32064,1.07198,1.34556,0.000614,0.000614,0.000614
72,18260,1.05375,0.7896,1.13385,0.83625,0.66546,0.78237,0.48936,1.33375,1.03448,1.33171,0.0005942,0.0005942,0.0005942
73,18497.9,0.98771,0.71619,1.10679,0.81545,0.66061,0.77,0.49109,1.30512,1.02433,1.31517,0.0005744,0.0005744,0.0005744
74,18736.3,0.99624,0.71146,1.09469,0.82953,0.66355,0.76012,0.48231,1.33571,1.07455,1.35314,0.0005546,0.0005546,0.0005546
75,18972.3,1.04084,0.74295,1.11693,0.7694,0.6471,0.74021,0.46823,1.33628,1.03456,1.32712,0.0005348,0.0005348,0.0005348
76,19207.3,0.99962,0.74228,1.0944,0.79924,0.66351,0.75227,0.4703,1.34028,1.0537,1.33431,0.000515,0.000515,0.000515
77,19443.1,1.0181,0.71505,1.11529,0.75215,0.6805,0.75398,0.46606,1.31572,1.08731,1.31444,0.0004952,0.0004952,0.0004952
78,19677.9,0.9914,0.71189,1.09903,0.78873,0.65614,0.76903,0.47633,1.33841,0.99609,1.32009,0.0004754,0.0004754,0.0004754
79,19915.2,0.97628,0.70861,1.08625,0.79091,0.68182,0.78364,0.49095,1.30756,0.99817,1.31516,0.0004556,0.0004556,0.0004556
80,20155.3,0.98158,0.69156,1.07128,0.84848,0.67874,0.78678,0.49622,1.3233,1.0128,1.32465,0.0004358,0.0004358,0.0004358
81,20392.7,0.96065,0.70002,1.09222,0.82082,0.66633,0.76959,0.48457,1.32885,1.03241,1.3428,0.000416,0.000416,0.000416
82,20635.5,0.97987,0.70918,1.08448,0.77118,0.71515,0.76069,0.49075,1.31459,1.04477,1.31971,0.0003962,0.0003962,0.0003962
83,20883.3,0.95925,0.69125,1.07642,0.75463,0.71762,0.7541,0.47451,1.33779,1.04787,1.34595,0.0003764,0.0003764,0.0003764
84,21125.5,0.93051,0.65626,1.05173,0.79327,0.67576,0.7612,0.47648,1.34289,1.05511,1.33244,0.0003566,0.0003566,0.0003566
85,21364.8,0.96841,0.6837,1.0818,0.7818,0.68485,0.76503,0.47802,1.32399,1.05153,1.31796,0.0003368,0.0003368,0.0003368
86,21612.3,0.9408,0.67029,1.06865,0.77583,0.71212,0.78121,0.49226,1.31093,1.01854,1.32952,0.000317,0.000317,0.000317
87,21853.2,0.95325,0.67578,1.07528,0.79474,0.67576,0.76971,0.48484,1.33852,1.02248,1.34953,0.0002972,0.0002972,0.0002972
88,22107.3,0.93234,0.65955,1.06525,0.85495,0.65758,0.78086,0.49893,1.29843,1.01153,1.3124,0.0002774,0.0002774,0.0002774
89,22353.5,0.91777,0.65736,1.0535,0.7848,0.71818,0.78058,0.49868,1.30962,1.00525,1.32267,0.0002576,0.0002576,0.0002576
90,22595.8,0.94343,0.71153,1.1164,0.84063,0.65758,0.77632,0.49624,1.31936,1.01531,1.33048,0.0002378,0.0002378,0.0002378
91,22833.5,0.8581,0.63177,1.01425,0.81747,0.68182,0.77001,0.48465,1.31004,1.08954,1.32224,0.000218,0.000218,0.000218
92,23075.7,0.84891,0.611,1.00359,0.82181,0.66364,0.76685,0.4789,1.31843,1.04218,1.33493,0.0001982,0.0001982,0.0001982
93,23311.8,0.86734,0.61246,1.01401,0.77515,0.7,0.77044,0.48447,1.3111,1.00908,1.31115,0.0001784,0.0001784,0.0001784
94,23545.9,0.80462,0.532,0.97149,0.83564,0.66249,0.77713,0.48881,1.31355,1.02101,1.31843,0.0001586,0.0001586,0.0001586
95,23779.6,0.82888,0.5423,1.01384,0.81338,0.68681,0.77763,0.4928,1.32213,1.03318,1.3279,0.0001388,0.0001388,0.0001388
96,24014.1,0.78095,0.52269,0.96725,0.8498,0.65152,0.77332,0.49267,1.31416,1.02184,1.31642,0.000119,0.000119,0.000119
97,24254.8,0.89348,0.68778,1.04533,0.86037,0.66061,0.77692,0.49081,1.3189,1.0143,1.32309,9.92e-05,9.92e-05,9.92e-05
98,24490.4,0.81237,0.52622,1.01606,0.81858,0.68485,0.78277,0.49505,1.31323,1.00895,1.31844,7.94e-05,7.94e-05,7.94e-05
99,24724.9,0.80528,0.55612,0.98348,0.81191,0.68485,0.78175,0.49519,1.30445,1.01022,1.31668,5.96e-05,5.96e-05,5.96e-05
100,24959.7,0.7996,0.49782,0.97546,0.8114,0.68788,0.78547,0.49808,1.29798,1.00367,1.31561,3.98e-05,3.98e-05,3.98e-05
